"","transect","trt","pre.yr","post.yr","pre.juas.cover","pre.qufu.cover","pre.ulcr.cover","pre.dite.cover","pre.sose.cover","pre.ilvo.cover","pre.eyte.cover","pre.count.bois","pre.count.nale","pre.count.elca","pre.count.spco","pre.count.erse","pre.count.bocu","pre.count.scsc","pre.count.capl","pre.count.pape","pre.count.crmo","post.juas.cover","post.qufu.cover","post.ulcr.cover","post.dite.cover","post.sose.cover","post.ilvo.cover","post.eyte.cover","post.count.bois","post.count.nale","post.count.elca","post.count.spco","post.count.erse","post.count.bocu","post.count.scsc","post.count.capl","post.count.pape","post.count.crmo"
"1","libe5.2","t",2009,2011,30,206,41.5,14.5,7.5,0,0,44,7,0,27,10,8,5,14,0,3,0,189,62,19.5,14.5,0,0,46,15,0,14,14,4,6,10,0,0
"2","upbe5.1","t",2010,2013,8,277,82.5,0,0,0,0,10,8,0,11,0,10,6,10,0,2,0,303.5,57,0,0,0,0,14,0,0,12,0,0,14,2,0,12
"3","upbe1.2","t",2006,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,119,12.5,30.5,0,0,0,46,7,0,2,1,4,0,11,0,7
"4","lobe6.1","t",2012,2014,229.5,62,108.5,9.5,0,0,18.5,3,4,0,1,0,0,4,14,18,11,140.5,67,98.5,10.5,0,0,6,12,9,0,0,0,0,3,6,37,0
"5","libe3.2","t",2009,2014,194.5,187,51.5,61,41,0,0,40,0,0,6,2,0,11,22,2,8,149.5,124,74,65.5,55,7.5,0,12,0,0,2,2,3,5,17,17,21
"6","libe4.1","t",2009,2010,41.5,201,0,18.5,7,1.5,1.5,66,0,0,0,0,3,6,16,6,3,2.5,162.5,43,20,5,0,1.5,37,0,0,1,0,7,3,12,7,18
"7","slcr3.2","t",2006,2012,0,217.5,0,7.5,0,0,0,42,26,0,0,0,1,4,6,0,0,5,219,22,30,0,0,0,18,7,0,0,0,1,2,8,1,21
"8","oncr1.1","w",2015,2017,19.5,150,74.5,25,0,0,19.5,12,3,1,0,0,0,0,12,18,13,40.5,116.5,97,43.5,0,0,23,32,1,4,1,1,1,0,8,0,0
"9","upbe2.1","w",2015,2017,7.5,169,37.5,4,0,0,0,25,15,0,0,0,2,0,1,2,0,7.5,173,37,8,0,0,0,41,10,0,0,0,4,1,2,0,0
"10","slcr2.1","w",2016,2018,168,166.5,0,3.5,0,0,0,0,0,0,2,0,0,6,25,3,15,103,102.5,0,0,0,0,0,0,0,0,2,0,7,5,18,1,4
"11","libe5.2","w",2011,2014,0,189,62,19.5,14.5,0,0,46,15,0,14,14,4,6,10,0,0,0,172.5,46,23.5,16.5,0,0,11,15,1,1,8,1,1,7,17,5
"12","lobe4.1","w",2013,2016,281.5,75.5,54,50,2.5,19,0,31,4,0,12,0,1,11,8,0,6,296.5,110,34,44.5,3.5,22.5,0,18,1,0,4,0,6,16,10,0,6
"13","lobe5.1","w",2011,2016,97,101.5,4.5,34.5,3.5,74,39.5,24,4,0,21,0,8,24,11,0,1,109,79.5,7,20,15,24,56,6,1,0,6,4,0,5,2,0,9
"14","lobe5.1","w",2008,2011,82.5,65,0,31,5,119,40.5,28,2,0,0,21,6,21,4,2,3,97,101.5,4.5,34.5,3.5,74,39.5,24,4,0,21,0,8,24,11,0,1
"15","lobe5.3","w",2010,2019,109.5,165,16,26.5,0,1,0,25,1,0,6,6,2,11,5,3,9,148,253.5,17,28.5,3.5,4.5,0,14,0,0,5,4,1,7,0,0,4
"16","lobe6.1","r",2014,2019,140.5,67,98.5,10.5,0,0,6,12,9,0,0,0,0,3,6,37,0,188.5,77,100,8.5,0,0,22,16,7,1,4,2,0,7,14,0,0
"17","slcr7.1","r",2009,2016,0,0,0,0,0,0,0,141,1,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,87,1,0,1,0,0,4,0,4,0
"18","slcr7.1","r",2009,2013,0,0,0,0,0,0,0,141,1,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,132,0,0,4,0,0,2,0,0,0
"19","oncr4.1","r",2017,2019,143.5,97,0,14.5,0,0,0,43,6,0,0,1,1,22,3,16,2,158,134.5,0,11,0,0,0,37,4,0,3,0,2,16,6,16,6
"20","slcr7.1","r",2013,2016,0,0,0,0,0,0,0,132,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,87,1,0,1,0,0,4,0,4,0
"21","slcr7.1","r",2013,2013,0,0,0,0,0,0,0,132,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,132,0,0,4,0,0,2,0,0,0
"22","libe5.4","r",2012,2014,0,159.5,17.5,31,13.5,0,0,15,1,0,1,0,2,0,5,12,43,0,163.5,28,30.5,18,0,0,15,8,0,0,1,0,0,4,22,37
"23","oncr1.2","r",2008,2011,18.5,38,1.5,0,0,0,0,34,8,0,7,14,9,2,1,0,1,19.5,39.5,6,0,0,0,0,73,12,0,4,4,5,2,1,0,0
"24","lobe3.1","r",2013,2019,166.5,101,25,89.5,34,0,19,6,4,0,2,0,6,6,18,5,11,174.5,157.5,39.5,62,45.5,0,42.5,6,8,0,0,1,5,7,6,0,3
"25","libe5.1","r",2011,2014,3,211,27.5,53,49.5,15.5,0,1,1,0,1,1,2,2,25,0,12,2.5,215.5,43,56.5,45.5,11,0,1,9,0,0,1,1,1,12,36,1
"26","libe3.1","s",2014,2019,0,291.5,57.5,31.5,10,5,0,6,10,0,1,2,2,0,18,0,10,0,240.5,66.5,41.5,18.5,59.5,0,10,11,1,0,0,1,0,17,26,19
"27","libe5.3","s",2014,2019,0,99.5,120.5,65,59,0,0,4,7,0,1,0,0,0,5,24,12,2.5,128,116,62.5,85,0,0,7,7,4,3,0,1,0,5,17,7
"28","lobe5.3","s",2007,2010,71,220,21,40.5,0,20,0,19,3,0,0,8,3,15,2,21,13,109.5,165,16,26.5,0,1,0,25,1,0,6,6,2,11,5,3,9
"29","libe1.1","s",2010,2014,0,141,0,0,8.5,0,0,17,4,0,1,0,1,0,10,2,30,0,137,0,12.5,9.5,0,0,17,12,0,2,0,4,0,4,14,15
"30","libe4.1","s",2010,2014,2.5,162.5,43,20,5,0,1.5,37,0,0,1,0,7,3,12,7,18,7.5,165,47,13,4.5,3.5,5,29,1,0,1,0,4,5,10,6,11
"31","lobe5.2","s",2007,2010,5.5,71,7.5,100,51.5,0,0,9,47,0,0,7,3,1,3,6,4,11.5,6,14.5,69.5,25.5,5.5,0,3,36,0,0,3,4,1,2,4,0
